Topic,Definition of the topic,Rate,Rating
consequences,The last thing,1,One
consequences,Consequences of a failed decision,2,Two
consequences,"Outcomes, consequences",2,Two
consequences,Consequential things,2,Two
consequences,The consequences of doing wrong,2,Two
consequences,The reaction that a person experiences as a result of his actions,2,Two
 vacuum,Death of the bull,0,Zero
 vacuum,"Connectedness, ruin",0,Zero
 vacuum,Animal sound,0,Zero
 vacuum, vessel,0,Zero
 vacuum,Cow's voice,0,Zero
 vacuum,The name of the sound of something,0,Zero
 vacuum, Empty inside,1,One
 vacuum,Empty poetry does not contain feelings,1,One
 vacuum,The emptiness,1,One
 vacuum,A hollow thing,1,One
 vacuum,emptiness,2,Two
 vacuum, empty,2,Two
 vacuum,Empty place,2,Two
 vacuum, The empty thing,2,Two
 vacuum,"Emptiness: like mental emptiness, meaning that a person’s mind is empty or psychologically empty",2,Two
 antidote,It is poison,0,Zero
 antidote,His decoction,0,Zero
 antidote,Heart medicine,0,Zero
 antidote,Harnesses,0,Zero
 antidote,"Disease, poison, nectar",0,Zero
 antidote,A type of fish,0,Zero
 antidote,"Drink, warmth",0,Zero
 antidote,treatment,1,One
 antidote,Herbs,1,One
 antidote,medicine,1,One
 antidote,A type of treatment,1,One
 antidote,Healing from poison,1,One
 antidote,Poison medicine,2,Two
 antidote,Detox serum,2,Two
 antidote,Anti-venom substance,2,Two
 antidote,Medication to treat venom from a snake bite,2,Two
 antidote,Healing from poison,2,Two
regression,decrease,0,Zero
regression,to reject,0,Zero
regression,bell,0,Zero
regression,mistake,0,Zero
regression,Something is increasing,0,Zero
regression,Breaking the covenant,1,One
regression,drop,1,One
regression,defeat,1,One
regression,Reduce or decrease,1,One
regression,A type of trick (defensive),1,One
regression,Breaking a promise,1,One
regression,"Back, retreat",2,Two
regression,"Deterioration, backwardness",2,Two
regression,Childhood regression (psychology),2,Two
regression,"Regression from top to bottom and lag, which is the opposite of progress",2,Two
eradication,Espionage/snooping,0,Zero
eradication,Feel,0,Zero
eradication,Avoid/collect a corpse,0,Zero
eradication,We take something that is not our right,0,Zero
eradication,Appearance of,0,Zero
eradication,I stole it,0,Zero
eradication,Feeling - rape,0,Zero
eradication,to cut,1,One
eradication,Uprooted from the earth (S),1,One
eradication,Uprooting something from its roots,2,Two
eradication,Erasing the trace of something by removing its roots,2,Two
eradication,He removes it from its roots,2,Two
eradication,To extract something from its source,2,Two
Awwal,a lock,0,Zero
Awwal,darkness,0,Zero
Awwal,Be optimistic / the owner of Val,0,Zero
Awwal,Akol/very dark,0,Zero
Awwal,Talkative,0,Zero
Awwal,Who talks bad things?,0,Zero
Awwal,Complex - closed,0,Zero
Awwal,Be optimistic,0,Zero
Awwal,an end,1,One
Awwal,"When he went away, he said, “I don’t like people.” (S)",1,One
Awwal,Engraftment,1,One
Awwal,Stay away,1,One
Awwal,sunset,2,Two
Awwal,The setting of the sun,2,Two
Awwal,Disappearance/absence,2,Two
Awwal,"He disappeared (and when he disappeared, he said, “I don’t like ghosts”)",2,Two
Awwal,The disappearance or absence of the sun,2,Two
 puzzle,A legal document proving ownership,0,Zero
 puzzle,Clear,0,Zero
 puzzle,Reasons and arguments,0,Zero
 puzzle,Coming from a difficult argument,0,Zero
 puzzle,Evidence/argument/evidence/defence,0,Zero
 puzzle,a barrier,0,Zero
 puzzle,story,1,One
 puzzle,Game,1,One
 puzzle,Bedtime story,1,One
 puzzle,Tales and stories,1,One
 puzzle,Fazora,2,Two
 puzzle,puzzle,2,Two
 puzzle,Words that people argue with have a complex and meaning,2,Two
putrid,Dulcet,0,Zero
putrid,harsh,0,Zero
putrid,spiteful/his heart is heavy,0,Zero
putrid,"Brilliant, prosperous",0,Zero
putrid,Sweet food,0,Zero
putrid,Sharp and bitter,0,Zero
putrid,Those who carry weapons,0,Zero
putrid,not sweet (opposite of sweet),1,One
putrid,nasty,1,One
putrid,It smells good (S),1,One
putrid,immobile (s),1,One
putrid,"Stagnant water, i.e. water with a change in taste, color or smell",2,Two
putrid,"Polluted, rotten, rotten",2,Two
putrid,"Mukar, God Almighty said (water that is not stagnant)",2,Two
putrid,stagnant,2,Two
putrid,moldy,2,Two
Maria,"The Shining Thing, a girl's name",0,Zero
Maria,"Flexible, lying",0,Zero
Maria,"Beautiful, tidy",0,Zero
Maria,"Woman, lie",0,Zero
Maria,fear,1,One
Maria,Confusion,1,One
Maria,anxiety,1,One
Maria,"Doubt, suspicion",2,Two
Maria,He thought,2,Two
Maria,Doubt and disbelief,2,Two
Maria,Hesitation regarding the matter. God Almighty said: “And those who disbelieve are still in doubt about it,2,Two
Talk to each other,hang in there,0,Zero
Talk to each other,Gossiping,0,Zero
Talk to each other,the tongue,0,Zero
Talk to each other,Rumours,0,Zero
Talk to each other,You talk,0,Zero
Talk to each other,bla bla bla bla,0,Zero
Talk to each other, Stampede,0,Zero
Talk to each other,Talk to each other,0,Zero
Talk to each other,Speaking in an ugly or bad manner,1,One
Talk to each other,Speaking with the tongue,1,One
Talk to each other, Transgression or transgression,1,One
Talk to each other, Ugly response,1,One
Talk to each other, Talk to someone about something he hates,1,One
Talk to each other,Exchanging tongues,2,Two
Talk to each other,"Between two people, it is insulting or cursing (Arabic language)",2,Two
Talk to each other,Calling people names and throwing accusations at others,2,Two
Talk to each other,Exchanging words,2,Two
Talk to each other,"Intense discussion, verbal altercation",2,Two
 Lajaj,"Fazura, Khassam",0,Zero
 Lajaj,Appearance or someone who wants an appearance,0,Zero
 Lajaj,Speaking in an incomprehensible dialect,0,Zero
 Lajaj,Mixed together,0,Zero
 Lajaj,fog,0,Zero
 Lajaj,Soft/soft,0,Zero
 Lajaj,"Doubt, bridle",0,Zero
 Lajaj, silver,0,Zero
 Lajaj,Dulcet,0,Zero
 Lajaj,Lots of water,1,One
 Lajaj, bla bla bla bla,1,One
 Lajaj,Crash,2,Two
 Lajaj,sea waves,2,Two
 Lajaj,"From the abyss, that is, the sea",2,Two
 Lajaj,choppy,2,Two
 Lajaj,Dispute,2,Two
 Lajaj,Continuous water or successive waves,2,Two
 tip,Water drowning,0,Zero
 tip,more,0,Zero
 tip,Something abundant,0,Zero
 tip,Hate/anger,0,Zero
 tip,High water,0,Zero
 tip,rage,0,Zero
 tip,past,0,Zero
 tip,Gaze,0,Zero
 tip,complication,0,Zero
 tip,Lack of water,1,One
 tip,Dry,1,One
 tip,part (s),1,One
 tip,decrease (x),1,One
 tip,recede (s),1,One
 tip,"Dry water, dry up",2,Two
 tip,Water receding,2,Two
 tip,The water has dried up,2,Two
 tip, The water sank into the ground and disappeared,2,Two
 tip,"After the flood, the water recedes",2,Two
 tip,Tip of the iceberg (meaning part of a whole),2,Two
calcification,"Laziness, laziness",0,Zero
calcification,Something that is decreasing in size or becoming extinct,0,Zero
calcification,Shrinkage,0,Zero
calcification,Cover the thing,0,Zero
calcification,Crowded need,0,Zero
calcification,pain,0,Zero
calcification,Minimize,0,Zero
calcification,stiffness (s),1,One
calcification,Particles coming together next to each other,1,One
calcification,Petrified,2,Two
calcification,Precipitation of insoluble calcium salts,2,Two
calcification,Limescale deposits,2,Two
calcification,"Calcium deposition in the joints, leading to their stiffness",2,Two
